,Global_reactive_power,Voltage,Global_intensity,Day,Month,Hour,Minutes,total_metering
70960,0.102,240.99,12.0,2,4,0,4,18.0
225315,0.052,236.3,0.8,22,5,4,39,0.0
88499,0.0,244.17,2.0,16,2,4,23,0.0
191931,0.102,239.2976727604501,3.6,29,4,0,15,1.0
246306,0.0,236.6,0.8,6,5,18,30,0.0
102885,0.0,239.69,0.8,26,2,4,9,0.0
203387,0.192,232.84,10.0,5,6,23,11,18.0
136953,0.204,235.5,16.9,21,3,19,57,18.0
18419,0.0,239.61,5.4,29,12,12,23,18.0
94220,0.322,239.1,15.2,20,2,3,44,18.0
86155,0.168,240.98,10.0,14,2,13,19,17.0
67117,0.194,235.22,11.6,2,1,8,1,17.0
13841,0.0,234.78,16.4,26,12,8,5,17.0
62190,0.27,238.36,7.6,28,1,21,54,6.0
245357,0.0,236.24,0.8,6,5,2,41,0.0
145471,0.108,241.53,1.4,27,3,17,55,0.0
111811,0.116,241.55,1.4,3,4,8,55,0.0
54200,0.088,243.13,6.2,23,1,8,44,18.0
231197,0.092,235.67,1.4,26,5,6,41,0.0
97728,0.212,241.02,2.4,22,2,14,12,0.0
101007,0.1,238.23,1.2,24,2,20,51,2.0
172857,0.254,239.39,1.6,15,4,18,21,1.0
170521,0.0,241.46,0.8,14,4,3,25,0.0
170501,0.336,239.67,2.2,14,4,3,5,1.0
5617,0.094,246.25,1.2,20,12,15,1,0.0
101344,0.0,240.44,0.8,25,2,2,28,0.0
181911,0.134,240.64,1.2,22,4,1,15,0.0
143123,0.404,248.68,2.6,26,3,2,47,2.0
218855,0.106,237.84,2.6,17,5,16,59,0.0
107905,0.124,241.56,1.4,3,1,15,49,0.0
8213,0.096,239.5,5.6,22,12,10,17,17.0
112401,0.218,235.27,12.0,3,4,18,45,18.0
47532,0.244,236.06,11.4,18,1,17,36,18.0
248808,0.0,231.82,0.8,6,7,12,12,0.0
98220,0.0,235.32,16.9,22,2,22,24,45.0
244657,0.0,236.78,0.8,6,4,15,1,0.0
220990,0.05,234.5,1.2,19,5,4,34,0.0
213117,0.212,233.92,13.6,13,5,17,21,45.0
55005,0.24,240.02,10.6,23,1,22,9,1.0
231371,0.0,232.08,15.4,26,5,9,35,45.0
155039,0.21,236.53,6.0,4,3,9,23,18.0
245430,0.218,235.78,1.8,6,5,3,54,1.0
140928,0.05,242.31,6.2,24,3,14,12,19.0
175531,0.128,240.77,1.2,17,4,14,55,0.0
219713,0.0,235.76,2.8,18,5,7,17,0.0
219786,0.188,237.39,6.4,18,5,8,30,18.0
219307,0.0,238.93,2.2,18,5,0,31,0.0
119140,0.086,237.47,7.6,3,9,11,4,19.0
234625,0.066,237.18,1.8,28,5,15,49,1.0
20882,0.094,241.35,9.8,31,12,5,26,0.0
77265,0.0,237.79,5.4,2,8,9,9,17.0
179704,0.0,240.71,0.6,20,4,12,28,0.0
244375,0.0,231.75,5.0,6,4,10,19,16.0
164409,0.0,239.91,5.6,4,9,21,33,19.0
57651,0.0,240.02,8.6,25,1,18,15,18.0
106865,0.0,243.66,0.8,28,2,22,29,0.0
243195,0.16,234.9,6.0,6,3,14,39,17.0
158736,0.114,243.89,6.4,4,5,23,0,18.0
203913,0.0,232.58,6.0,5,7,7,57,16.0
197964,0.0,235.44,1.2,5,3,4,48,1.0
241755,0.056,234.71,6.0,6,2,14,39,18.0
243819,0.148,237.57,2.0,6,4,1,3,4.0
202728,0.184,232.81,3.0,5,6,12,12,2.0
168072,0.0,242.84,1.0,4,12,10,36,0.0
99188,0.0,238.79,5.4,23,2,14,32,18.0
30793,0.206,246.56,1.6,1,7,2,37,0.0
100797,0.118,240.02,1.4,24,2,17,21,0.0
235044,0.0,239.55,1.4,28,5,22,48,1.0
4963,0.138,245.74,1.4,20,12,4,7,0.0
81447,0.0,239.58,9.6,2,11,6,51,0.0
28229,0.248,237.47,10.2,1,5,7,53,1.0
13024,0.33,240.58,8.4,25,12,18,28,1.0
247166,0.046,231.78,6.0,6,6,8,50,17.0
171158,0.0,240.07,0.8,14,4,14,2,0.0
177603,0.0,239.12,2.0,19,4,1,27,0.0
54942,0.0,239.17,13.8,23,1,21,6,18.0
130697,0.0,237.02,5.4,17,3,11,41,17.0
35915,0.134,244.28,2.6,1,10,15,59,1.0
232736,0.282,234.31,4.2,27,5,8,20,1.0
165782,0.168,240.11,4.4,4,10,20,26,1.0
87066,0.12,241.16,1.6,15,2,4,30,0.0
161579,0.0,237.84,13.8,4,7,22,23,18.0
110085,0.19,243.32,1.6,3,3,4,9,2.0
134714,0.102,245.03,1.4,20,3,6,38,0.0
14629,0.16,240.48,10.0,26,12,21,13,19.0
181266,0.248,241.34,5.8,21,4,14,30,19.0
116060,0.0,238.75,6.2,3,7,7,44,17.0
21230,0.0,237.89,13.6,31,12,11,14,17.0
65861,0.222,239.13,6.2,31,1,11,5,18.0
173591,0.118,243.49,1.0,16,4,6,35,0.0
229384,0.0,238.99,1.2,25,5,0,28,2.0
242365,0.312,235.4,2.6,6,3,0,49,1.0
128561,0.184,239.3,3.6,16,3,0,5,0.0
21610,0.112,237.79,10.4,31,12,17,34,0.0
175643,0.0,241.79,0.6,17,4,16,47,0.0
219607,0.0,239.38,0.8,18,5,5,31,0.0
126312,0.0,241.57,1.2,14,3,10,36,0.0
49440,0.296,244.06,2.0,20,1,1,24,1.0
208448,0.0,235.09,0.6,5,10,11,32,0.0
138918,0.1,242.73,1.4,23,3,4,42,0.0
121454,0.058,239.01,9.6,3,11,1,38,0.0
24638,0.465,239.64,11.4,1,2,20,2,17.0
35333,0.158,241.58,1.6,1,10,6,17,1.0
126580,0.0,242.14,1.2,14,3,15,4,1.0
45977,0.192,241.38,15.8,17,1,15,41,45.0
122244,0.104,243.27,5.8,3,11,14,48,18.0
163418,0.0,242.69,1.0,4,9,5,2,0.0
159758,0.116,244.18,1.4,4,6,16,2,1.0
66927,0.124,242.27,1.4,2,1,4,51,0.0
235718,0.172,231.01,4.0,29,5,10,2,1.0
111298,0.0,240.77,1.2,3,4,0,22,0.0
236831,0.05,236.3,0.8,30,5,4,35,0.0
6990,0.0,242.56,5.4,21,12,13,54,18.0
35432,0.09,238.63,11.8,1,10,7,56,17.0
18951,0.134,231.1,16.9,29,12,21,15,45.0
107587,0.12,240.34,1.4,3,1,10,31,0.0
153037,0.214,242.89,6.0,4,2,0,1,18.0
94058,0.118,242.41,10.0,20,2,1,2,0.0
42450,0.148,243.81,1.4,15,1,4,54,0.0
109907,0.0,244.04,1.0,3,3,1,11,0.0
163062,0.12,241.23,1.4,4,8,23,6,0.0
215594,0.102,232.2,6.0,15,5,10,38,17.0
232147,0.186,233.62,7.4,26,5,22,31,16.0
117131,0.062,240.3,1.2,3,8,1,35,2.0
178119,0.0,240.5,0.8,19,4,10,3,0.0
211106,0.16,233.29,7.4,5,12,7,50,17.0
31244,0.168,242.2,2.4,1,7,10,8,0.0
217326,0.314,237.19,2.8,16,5,15,30,2.0
129695,0.102,231.45,16.9,16,3,18,59,36.0
46952,0.146,234.77,14.4,18,1,7,56,17.0
20708,0.358,244.56,10.6,31,12,2,32,0.0
25036,0.174,247.44,1.6,1,3,2,40,0.0
210899,0.0,234.25,0.6,5,12,4,23,0.0
20504,0.0,241.0,0.8,30,12,23,8,0.0
163882,0.116,240.52,1.4,4,9,12,46,0.0
147841,0.092,239.95,5.6,29,3,9,25,17.0
124381,0.108,243.38,1.4,13,3,2,25,0.0
157366,0.108,242.65,1.4,4,5,0,10,0.0
57207,0.108,242.82,1.2,25,1,10,51,0.0
74896,0.196,240.96,2.8,2,6,17,40,0.0
249192,0.056,235.2,3.0,6,7,18,36,0.0
30467,0.168,239.71,4.4,1,6,21,11,0.0
41523,0.172,243.16,6.8,14,1,13,27,18.0
129877,0.098,236.36,6.6,16,3,22,1,17.0
26814,0.0,235.8,9.2,1,4,8,18,0.0
200081,0.226,237.34,1.8,5,4,16,5,0.0
68178,0.092,241.81,1.2,2,2,1,42,0.0
130564,0.08,234.97,5.6,17,3,9,28,17.0
83952,0.122,242.67,1.4,13,2,0,36,0.0
48490,0.234,235.46,6.0,19,1,9,34,18.0
199758,0.084,235.17,0.8,5,4,10,42,0.0
66498,0.0,235.83,11.6,31,1,21,42,17.0
53557,0.0,240.77,6.4,22,1,22,1,0.0
174807,0.098,240.12,1.2,17,4,2,51,0.0
157500,0.118,244.74,1.4,4,5,2,24,0.0
152252,0.046,238.32,7.8,4,1,10,56,18.0
41144,0.206,238.58,9.4,14,1,7,8,0.0
132627,0.232,236.94,5.4,18,3,19,51,0.0
156873,0.106,240.76,6.2,4,4,15,57,19.0
179801,0.108,239.15,1.6,20,4,14,5,0.0
109051,0.096,241.32,1.2,3,2,10,55,0.0
106180,0.0,242.36,0.8,28,2,11,4,0.0
58388,0.0,242.98,6.2,26,1,6,32,19.0
21024,0.202,239.73,16.9,31,12,7,48,19.0
88655,0.116,243.9,10.2,16,2,6,59,19.0
146367,0.134,241.02,6.0,28,3,8,51,22.0
234144,0.078,233.05,1.6,28,5,7,48,0.0
34367,0.0,243.03,1.0,1,9,14,11,0.0
141219,0.298,232.46,16.9,24,3,19,3,45.0
147159,0.12,237.73,16.4,28,3,22,3,39.0
86303,0.166,238.57,16.6,14,2,15,47,42.0
134217,0.06,237.82,15.0,19,3,22,21,38.0
175524,0.0,242.25,0.8,17,4,14,48,0.0
117167,0.204,241.73,1.8,3,8,2,11,1.0
113153,0.346,233.04,16.9,3,5,7,17,45.0
35700,0.168,240.7,6.0,1,10,12,24,18.0
3407,0.232,244.07,2.0,19,12,2,11,2.0
155044,0.09,237.43,5.8,4,3,9,28,19.0
68713,0.0,237.47,7.4,2,2,10,37,18.0
53265,0.258,242.47,3.2,22,1,17,9,0.0
51351,0.088,238.67,6.0,21,1,9,15,20.0
59254,0.356,238.18,11.4,26,1,20,58,17.0
126336,0.0,240.55,1.0,14,3,11,0,0.0
174414,0.426,241.39,13.6,16,4,20,18,40.0
234783,0.292,233.01,15.0,28,5,18,27,45.0
81727,0.465,237.39,16.9,2,11,11,31,45.0
99154,0.078,240.28,5.8,23,2,13,58,19.0
125908,0.122,243.47,1.6,14,3,3,52,0.0
146647,0.124,240.75,5.8,28,3,13,31,20.0
116339,0.218,239.85,6.8,3,7,12,23,17.0
203592,0.0,236.02,0.8,5,7,2,36,0.0
54153,0.26,237.37,12.4,23,1,7,57,19.0
198127,0.328,235.8,2.8,5,3,7,31,2.0
152318,0.078,238.44,6.0,4,1,12,2,18.0
238170,0.064,235.62,1.4,31,5,2,54,0.0
106431,0.248,241.23,1.8,28,2,15,15,1.0
86565,0.0,238.78,2.6,14,2,20,9,0.0
172596,0.086,239.68,1.2,15,4,14,0,0.0
78864,0.0,241.05,5.4,2,9,11,48,18.0
243005,0.0,233.07,9.6,6,3,11,29,27.0
46828,0.138,243.09,1.4,18,1,5,52,0.0
248635,0.172,231.87,5.8,6,7,9,19,16.0
205134,0.078,237.24,2.2,5,8,4,18,0.0
213692,0.21,236.62,1.8,14,5,2,56,1.0
133344,0.07,238.6,6.4,19,3,7,48,17.0
30951,0.062,246.2,1.2,1,7,5,15,0.0
52381,0.0,245.06,1.0,22,1,2,25,0.0
148614,0.0,234.8,9.8,29,3,22,18,19.0
97140,0.184,239.53,10.2,22,2,4,24,0.0
127243,0.11,242.75,1.4,15,3,2,7,0.0
45821,0.0,242.11,5.4,17,1,13,5,19.0
70445,0.354,242.1,7.4,2,3,15,29,20.0
187989,0.1,237.91,1.0,26,4,6,33,0.0
88012,0.406,238.89,16.2,15,2,20,16,22.0
58688,0.0,237.32,11.4,26,1,11,32,17.0
66095,0.086,241.87,8.2,31,1,14,59,18.0
107159,0.0,242.62,0.8,3,1,3,23,0.0
3042,0.306,236.77,7.0,18,12,20,6,1.0
174940,0.214,238.96,1.6,17,4,5,4,1.0
117245,0.086,243.0,1.4,3,8,3,29,0.0
76965,0.0,243.54,1.0,2,8,4,9,0.0
135213,0.0,244.8,1.0,20,3,14,57,0.0
158339,0.19,244.37,1.8,4,5,16,23,0.0
196484,0.076,235.95,2.0,5,2,4,8,0.0
10386,0.318,237.25,16.9,23,12,22,30,39.0
239157,0.322,232.18,9.0,31,5,19,21,2.0
138834,0.114,246.39,1.4,23,3,3,18,0.0
166250,0.242,241.41,2.0,4,11,4,14,1.0
50308,0.246,239.6,6.2,20,1,15,52,18.0
249617,0.054,236.52,0.8,6,8,1,41,0.0
194672,0.118,233.34,3.0,30,4,21,56,1.0
180508,0.0,239.74,1.0,21,4,1,52,0.0
143572,0.102,239.52,6.8,26,3,10,16,18.0
158279,0.29,243.44,2.2,4,5,15,23,0.0
39728,0.254,241.63,8.2,13,1,7,32,18.0
189834,0.11,236.63,1.8,27,4,13,18,0.0
161496,0.198,238.0,2.0,4,7,21,0,1.0
44981,0.386,245.61,3.2,16,1,23,5,1.0
210358,0.098,234.41,1.0,5,11,19,22,1.0
79645,0.094,242.5,1.6,2,10,0,49,1.0
118024,0.0,243.6,1.0,3,8,16,28,0.0
169098,0.114,239.54,1.4,13,4,3,42,0.0
152338,0.214,238.83,6.4,4,1,12,22,19.0
243845,0.306,237.46,2.2,6,4,1,29,1.0
58111,0.142,243.5,1.4,26,1,1,55,0.0
17860,0.168,247.04,10.2,29,12,3,4,0.0
128978,0.226,241.91,4.4,16,3,7,2,0.0
91711,0.23,239.91,15.4,18,2,9,55,19.0
94532,0.0,237.39,13.8,20,2,8,56,17.0
18734,0.0,234.11,5.0,29,12,17,38,0.0
104298,0.22,242.23,1.8,27,2,3,42,2.0
161954,0.0,240.07,9.4,4,8,4,38,0.0
69917,0.11,238.67,9.4,2,3,6,41,0.0
211496,0.054,228.87,16.9,5,12,14,20,45.0
74408,0.0,238.57,1.0,2,6,9,32,1.0
56195,0.218,239.13,9.8,24,1,17,59,0.0
224239,0.072,233.56,5.6,21,5,10,43,17.0
102169,0.0,239.45,0.8,25,2,16,13,0.0
90701,0.438,238.41,2.6,17,2,17,5,1.0
202896,0.11,236.22,5.6,5,6,15,0,21.0
91594,0.0,240.04,9.8,18,2,7,58,0.0
117258,0.068,241.11,1.4,3,8,3,42,1.0
93299,0.0,238.19,6.4,19,2,12,23,17.0
175284,0.0,239.84,5.0,17,4,10,48,17.0
110256,0.234,242.56,1.8,3,3,7,0,0.0
179647,0.114,238.38,1.0,20,4,11,31,1.0
209324,0.192,235.63,1.4,5,11,2,8,0.0
68153,0.116,243.38,1.4,2,2,1,17,1.0
187862,0.166,233.18,1.4,26,4,4,26,0.0
66610,0.096,242.93,1.2,31,1,23,34,0.0
244683,0.208,237.5,1.6,6,4,15,27,0.0
187787,0.084,236.36,0.8,26,4,3,11,1.0
79095,0.0,247.94,1.0,2,9,15,39,0.0
95647,0.0,243.55,1.0,21,2,3,31,0.0
77745,0.0,241.53,8.0,2,8,17,9,18.0
121012,0.074,240.97,1.6,3,10,18,16,2.0
3202,0.242,239.28,12.8,18,12,22,46,37.0
53302,0.244,235.26,6.4,22,1,17,46,2.0
43788,0.248,243.9,1.8,16,1,3,12,1.0
197567,0.108,235.39,5.4,5,2,22,11,0.0
46441,0.196,239.12,15.6,17,1,23,25,45.0
203983,0.122,231.19,7.6,5,7,9,7,22.0
137385,0.114,247.87,1.4,22,3,3,9,0.0
25283,0.052,245.36,1.0,1,3,6,47,0.0
5568,0.222,243.75,6.2,20,12,14,12,18.0
183446,0.06,241.36,5.8,23,4,2,50,13.0
66763,0.126,242.47,1.4,2,1,2,7,0.0
187402,0.0,237.84,7.0,25,4,20,46,17.0
217623,0.184,235.04,6.2,16,5,20,27,0.0
104092,0.132,243.28,1.4,27,2,0,16,0.0
201083,0.0,234.48,5.6,5,5,8,47,17.0
197644,0.204,235.01,6.2,5,2,23,28,0.0
2276,0.21,242.34,9.4,18,12,7,20,1.0
164272,0.088,238.79,10.6,4,9,19,16,0.0
199487,0.222,238.06,1.4,5,4,6,11,1.0
114723,0.262,240.95,4.0,3,6,9,27,2.0
184925,0.084,237.41,1.2,24,4,3,29,2.0
118086,0.174,242.73,1.6,3,8,17,30,1.0
61296,0.0,243.48,8.2,28,1,7,0,1.0
96041,0.214,237.0,7.2,21,2,10,5,17.0
160431,0.108,240.44,1.4,4,7,3,15,0.0
248365,0.052,234.59,1.0,6,7,4,49,0.0
178731,0.334,240.48,6.8,19,4,20,15,18.0
231666,0.248,230.64,7.0,26,5,14,30,18.0
208773,0.1,234.9,5.2,5,10,16,57,17.0
204492,0.196,234.45,2.0,5,7,17,36,0.0
238814,0.0,234.15,1.0,31,5,13,38,0.0
81683,0.0,239.91,1.2,2,11,10,47,0.0
84060,0.0,244.15,1.0,13,2,2,24,0.0
69182,0.124,239.02,8.4,2,2,18,26,17.0
19261,0.31,246.94,2.0,30,12,2,25,0.0
19297,0.304,247.09,2.0,30,12,3,1,0.0
136161,0.07,241.19,14.8,21,3,6,45,0.0
183984,0.108,236.35,1.0,23,4,11,48,0.0
171545,0.258,243.82,1.8,14,4,20,29,1.0
92665,0.134,241.89,1.6,19,2,1,49,0.0
138172,0.0,244.72,0.8,22,3,16,16,0.0
170206,0.0,237.8,5.2,13,4,22,10,17.0
53152,0.156,243.99,5.8,22,1,15,16,18.0
235310,0.078,237.74,1.4,29,5,3,14,0.0
67095,0.0,233.62,16.9,2,1,7,39,17.0
149013,0.0,243.17,1.2,30,3,4,57,0.0
69028,0.0,242.3,1.2,2,2,15,52,0.0
225316,0.05,236.7,0.8,22,5,4,40,0.0
3423,0.15,247.71,1.6,19,12,2,27,0.0
164486,0.236,243.13,1.8,4,9,22,50,1.0
33376,0.154,239.33,8.2,1,8,21,40,0.0
42846,0.0,239.16,5.2,15,1,11,30,17.0
142341,0.268,244.5,7.2,25,3,13,45,19.0
51836,0.074,239.13,3.0,21,1,17,20,0.0
14470,0.29,241.26,12.6,26,12,18,34,18.0
165853,0.0,240.8,4.2,4,10,21,37,1.0
116883,0.084,235.64,15.2,3,7,21,27,19.0
175381,0.0,242.21,0.8,17,4,12,25,0.0
204934,0.2,235.31,3.0,5,8,0,58,0.0
213545,0.09,235.41,1.2,14,5,0,29,0.0
46677,0.142,243.75,1.4,18,1,3,21,0.0
71511,0.0,242.61,11.2,2,4,9,15,0.0
183908,0.078,235.62,5.2,23,4,10,32,17.0
201675,0.306,233.55,7.0,5,5,18,39,17.0
182601,0.294,240.94,7.6,22,4,12,45,19.0
45122,0.24,241.51,1.8,17,1,1,26,0.0
171866,0.0,239.93,0.8,15,4,1,50,0.0
93219,0.076,236.26,5.8,19,2,11,3,18.0
124961,0.116,241.71,1.4,13,3,12,5,0.0
21849,0.0,236.94,10.0,31,12,21,33,0.0
161799,0.0,239.43,9.4,4,8,2,3,0.0
130877,0.0,240.23,5.8,17,3,14,41,18.0
30599,0.132,241.36,1.4,1,6,23,23,0.0
9389,0.22,243.44,8.2,23,12,5,53,1.0
32156,0.106,241.16,5.6,1,8,1,20,19.0
224359,0.0,234.95,1.0,21,5,12,43,0.0
108494,0.0,240.38,0.8,3,2,1,38,0.0
35079,0.286,245.78,2.0,1,10,2,3,0.0
166949,0.116,243.75,1.2,4,11,15,53,1.0
234106,0.0,235.82,1.0,28,5,7,10,0.0
93342,0.0,239.03,5.4,19,2,13,6,18.0
239311,0.096,235.56,6.6,31,5,21,55,0.0
132687,0.465,233.53,16.9,18,3,20,51,28.0
190046,0.224,235.83,2.2,27,4,16,50,1.0
220856,0.298,236.53,2.4,19,5,2,20,2.0
36367,0.086,246.65,1.2,1,10,23,31,0.0
50139,0.454,236.7,16.9,20,1,13,3,45.0
119584,0.056,241.44,1.6,3,9,18,28,0.0
91417,0.0,245.65,1.0,18,2,5,1,0.0
80234,0.222,234.31,11.2,2,10,10,38,18.0
157590,0.0,242.38,0.8,4,5,3,54,0.0
246558,0.178,235.72,14.4,6,5,22,42,18.0
18384,0.138,241.42,5.8,29,12,11,48,18.0
87641,0.0,244.35,1.2,15,2,14,5,0.0
66208,0.0,244.18,5.4,31,1,16,52,18.0
77647,0.298,246.85,3.2,2,8,15,31,1.0
234264,0.062,229.21,5.4,28,5,9,48,16.0
87017,0.0,242.91,1.2,15,2,3,41,0.0
142649,0.465,233.0,16.9,25,3,18,53,42.0
72782,0.0,242.21,1.2,2,5,6,26,0.0
237845,0.0,234.54,16.2,30,5,21,29,38.0
120312,0.09,244.25,1.2,3,10,6,36,0.0
54997,0.136,238.85,10.4,23,1,22,1,0.0
155698,0.442,233.4,15.0,4,3,20,22,1.0
159848,0.0,241.78,5.4,4,6,17,32,18.0
46673,0.138,243.18,1.4,18,1,3,17,0.0
202390,0.232,237.61,6.4,5,6,6,34,1.0
64959,0.394,238.93,7.8,30,1,20,3,1.0
155031,0.216,237.79,6.0,4,3,9,15,18.0
21174,0.0,238.63,10.0,31,12,10,18,0.0
140169,0.054,240.01,5.4,24,3,1,33,18.0
240125,0.074,233.49,5.6,6,1,11,29,16.0
129339,0.088,241.38,1.2,16,3,13,3,0.0
37934,0.15,240.61,1.4,1,12,1,38,0.0
170508,0.108,241.29,1.2,14,4,3,12,1.0
201321,0.338,237.88,2.8,5,5,12,45,1.0
37952,0.0,240.21,1.0,1,12,1,56,0.0
93827,0.088,232.8,16.9,19,2,21,11,45.0
61567,0.096,238.28,7.4,28,1,11,31,17.0
239519,0.07,234.63,1.2,6,1,1,23,0.0
204828,0.0,238.36,3.4,5,7,23,12,0.0
223023,0.182,236.39,2.0,20,5,14,27,0.0
206676,0.0,235.57,0.6,5,9,6,0,0.0
187160,0.24,237.23,1.6,25,4,16,44,1.0
42227,0.0,243.95,5.4,15,1,1,11,19.0
236018,0.0,236.39,1.0,29,5,15,2,0.0
139148,0.198,239.08,6.0,23,3,8,32,18.0
95792,0.112,240.15,1.4,21,2,5,56,0.0
227158,0.0,231.74,5.8,23,5,11,22,19.0
54582,0.086,246.0,1.2,23,1,15,6,0.0
202560,0.18,229.6,14.6,5,6,9,24,17.0
182666,0.166,241.48,2.6,22,4,13,50,2.0
122723,0.064,243.15,6.8,3,11,22,47,0.0
151227,0.138,237.2,15.0,31,3,17,51,45.0
225249,0.076,237.06,1.2,22,5,3,33,0.0
101976,0.0,241.56,0.8,25,2,13,0,0.0
201500,0.09,234.54,10.8,5,5,15,44,18.0
32438,0.0,242.0,1.0,1,8,6,2,0.0
208231,0.192,233.74,5.4,5,10,7,55,18.0
132733,0.05,240.05,11.0,18,3,21,37,18.0
20048,0.465,241.53,11.0,30,12,15,32,19.0
105121,0.0,243.22,0.8,27,2,17,25,0.0
227431,0.0,236.67,1.0,23,5,15,55,0.0
9644,0.062,240.21,11.2,23,12,10,8,0.0
173703,0.11,237.01,5.2,16,4,8,27,17.0
18061,0.118,245.3,9.8,29,12,6,25,0.0
85630,0.0,241.59,1.4,14,2,4,34,0.0
192894,0.102,239.2976727604501,3.6,29,4,16,18,1.0
10186,0.184,235.81,16.9,23,12,19,10,18.0
6873,0.094,244.09,1.2,21,12,11,57,0.0
2296,0.112,241.03,16.4,18,12,7,40,17.0
116064,0.088,239.46,8.8,3,7,7,48,17.0
2965,0.084,238.15,11.6,18,12,18,49,18.0
39456,0.0,241.59,1.0,13,1,3,0,0.0
197774,0.108,237.88,1.2,5,3,1,38,0.0
26228,0.0,243.39,3.4,1,3,22,32,0.0
164796,0.23,242.74,1.8,4,10,4,0,0.0
11425,0.465,242.04,16.9,24,12,15,49,45.0
237970,0.178,239.7,1.8,30,5,23,34,0.0
29524,0.156,243.69,1.4,1,6,5,28,0.0
40444,0.298,233.69,14.6,13,1,19,28,17.0
190729,0.102,239.2976727604501,3.6,28,4,4,13,1.0
224894,0.0,234.82,7.2,21,5,21,38,16.0
33258,0.422,235.11,8.8,1,8,19,42,17.0
180149,0.166,241.09,2.4,20,4,19,53,0.0
211976,0.0,234.68,2.8,5,12,22,20,0.0
229142,0.0,238.66,1.0,24,5,20,26,0.0
77808,0.068,239.12,6.8,2,8,18,12,18.0
9752,0.114,239.17,11.8,23,12,11,56,0.0
246570,0.166,237.08,13.2,6,5,22,54,20.0
109349,0.092,240.68,1.2,3,2,15,53,0.0
120499,0.0,239.16,5.8,3,10,9,43,19.0
36409,0.076,247.37,1.0,1,11,0,13,0.0
32271,0.0,241.68,5.2,1,8,3,15,18.0
785,0.048,242.05,13.2,17,12,6,29,0.0
50053,0.256,237.06,8.2,20,1,11,37,18.0
162517,0.078,240.47,5.6,4,8,14,1,18.0
84985,0.088,239.51,7.4,13,2,17,49,18.0
20161,0.465,234.16,12.0,30,12,17,25,19.0
57280,0.0,243.21,1.0,25,1,12,4,0.0
179662,0.0,239.32,0.6,20,4,11,46,0.0
185064,0.0,236.44,0.8,24,4,5,48,0.0
216203,0.168,236.87,2.6,15,5,20,47,1.0
79417,0.268,240.27,7.0,2,9,21,1,0.0
192912,0.102,239.2976727604501,3.6,29,4,16,36,1.0
45553,0.465,242.77,11.6,17,1,8,37,19.0
201828,0.056,229.96,15.0,5,5,21,12,45.0
14916,0.046,248.2,1.8,27,12,2,0,0.0
